역구간,DAY,END,SAT,차이(주중-주말),평균_분
연천 ↔ 전곡,7.5,7.5,7.5,0.0,7.5
성환 ↔ 평택,6.49,6.5,6.5,-0.009999999999999787,6.5
당정 ↔ 성균관대,,5.5,5.5,,5.5
병점 ↔ 서동탄,5.0,5.0,5.0,0.0,5.0
소요산 ↔ 청산,5.0,5.0,5.0,0.0,5.0
광명 ↔ 금천구청,5.0,5.0,5.0,0.0,5.0
덕정 ↔ 지행,4.5,4.5,4.5,0.0,4.5
덕계 ↔ 양주,4.5,4.5,4.5,0.0,4.5
두정 ↔ 직산,4.5,4.5,4.5,0.0,4.5
신창 ↔ 온양온천,4.5,4.5,4.5,0.0,4.5
두정 ↔ 천안,4.01,4.0,4.0,0.009999999999999787,4.0
배방 ↔ 온양온천,4.0,4.0,4.0,0.0,4.0
병점 ↔ 세류,4.0,4.0,4.0,0.0,4.0
서정리 ↔ 평택지제,4.0,4.0,4.0,0.0,4.0
성환 ↔ 직산,4.0,4.0,4.0,0.0,4.0
평택 ↔ 평택지제,4.0,4.0,4.0,0.0,4.0
가산디지털단지 ↔ 구로,4.0,4.0,4.0,0.0,4.0
전곡 ↔ 청산,3.75,3.75,3.75,0.0,3.75
오산 ↔ 오산대,3.49,3.5,3.5,-0.009999999999999787,3.5
동인천 ↔ 인천,3.5,3.5,3.5,0.0,3.5
동두천 ↔ 소요산,3.49,3.33,3.33,0.16000000000000014,3.39
배방 ↔ 탕정,3.0,3.0,3.0,0.0,3.0
덕계 ↔ 덕정,3.01,3.0,3.0,0.009999999999999787,3.0
군포 ↔ 금정,3.0,3.0,3.0,0.0,3.0
오산 ↔ 진위,3.0,3.0,3.0,0.0,3.0
성균관대 ↔ 의왕,3.0,3.0,3.0,0.0,3.0
세류 ↔ 수원,3.0,3.0,3.0,0.0,3.0
송탄 ↔ 진위,3.0,3.0,3.0,0.0,3.0
노량진 ↔ 용산,3.0,3.0,3.0,0.0,3.0
남영 ↔ 서울역,2.5,2.5,2.5,0.0,2.5
수원 ↔ 화서,2.5,2.5,2.5,0.0,2.5
아산 ↔ 탕정,2.5,2.5,2.5,0.0,2.5
세마 ↔ 오산대,2.5,2.5,2.5,0.0,2.5
금천구청 ↔ 석수,2.5,2.5,2.5,0.0,2.5
도봉산 ↔ 망월사,2.5,2.5,2.5,0.0,2.5
관악 ↔ 안양,2.5,2.5,2.5,0.0,2.5
명학 ↔ 안양,2.5,2.5,2.5,0.0,2.5
성균관대 ↔ 화서,2.5,2.5,2.5,0.0,2.5
의정부 ↔ 회룡,2.5,2.5,2.5,0.0,2.5
오류동 ↔ 온수,2.5,2.5,2.5,0.0,2.5
병점 ↔ 세마,2.5,2.5,2.5,0.0,2.5
서정리 ↔ 송탄,2.5,2.5,2.5,0.0,2.5
청량리 ↔ 회기,2.5,2.5,2.5,0.0,2.5
동두천중앙 ↔ 보산,2.0,2.0,2.0,0.0,2.0
망월사 ↔ 회룡,2.0,2.0,2.0,0.0,2.0
신도림 ↔ 영등포,2.0,2.0,2.0,0.0,2.0
백운 ↔ 부평,2.0,2.0,2.0,0.0,2.0
동암 ↔ 백운,2.0,2.0,2.0,0.0,2.0
동두천 ↔ 보산,2.0,2.0,2.0,0.0,2.0
쌍용 ↔ 아산,2.0,2.0,2.0,0.0,2.0
신길 ↔ 영등포,2.0,2.0,2.0,0.0,2.0
시청 ↔ 종각,2.0,2.0,2.0,0.0,2.0
소사 ↔ 역곡,2.0,2.0,2.0,0.0,2.0
구로 ↔ 신도림,2.0,2.0,2.0,0.0,2.0
개봉 ↔ 오류동,2.0,2.0,2.0,0.0,2.0
관악 ↔ 석수,2.0,2.0,2.0,0.0,2.0
구로 ↔ 구일,2.0,2.0,2.0,0.0,2.0
금천구청 ↔ 독산,2.0,2.0,2.0,0.0,2.0
금정 ↔ 명학,2.0,2.0,2.0,0.0,2.0
가산디지털단지 ↔ 독산,2.0,2.0,2.0,0.0,2.0
녹천 ↔ 월계,2.0,2.0,2.0,0.0,2.0
당정 ↔ 의왕,2.0,2.0,2.0,0.0,2.0
간석 ↔ 동암,2.0,2.0,2.0,0.0,2.0
가능 ↔ 의정부,2.0,2.0,2.0,0.0,2.0
석계 ↔ 신이문,2.0,2.0,2.0,0.0,2.0
노량진 ↔ 대방,2.0,2.0,2.0,0.0,2.0
남영 ↔ 용산,2.0,2.0,2.0,0.0,2.0
녹양 ↔ 양주,2.0,2.0,2.0,0.0,2.0
광운대 ↔ 석계,2.0,2.0,2.0,0.0,2.0
방학 ↔ 창동,2.0,2.0,2.0,0.0,2.0
부천 ↔ 중동,2.0,2.0,2.0,0.0,2.0
부개 ↔ 부평,2.0,2.0,2.0,0.0,2.0
봉명 ↔ 쌍용,2.0,2.0,2.0,0.0,2.0
서울역 ↔ 시청,2.0,2.0,2.0,0.0,2.0
봉명 ↔ 천안,2.0,2.0,2.0,0.0,2.0
광운대 ↔ 월계,1.52,1.55,1.55,-0.030000000000000027,1.54
부개 ↔ 송내,1.5,1.5,1.5,0.0,1.5
도원 ↔ 제물포,1.5,1.5,1.5,0.0,1.5
가능 ↔ 녹양,1.5,1.5,1.5,0.0,1.5
간석 ↔ 주안,1.5,1.5,1.5,0.0,1.5
도봉 ↔ 방학,1.5,1.5,1.5,0.0,1.5
도원 ↔ 동인천,1.5,1.5,1.5,0.0,1.5
녹천 ↔ 창동,1.5,1.5,1.5,0.0,1.5
도봉 ↔ 도봉산,1.5,1.5,1.5,0.0,1.5
개봉 ↔ 구일,1.5,1.5,1.5,0.0,1.5
군포 ↔ 당정,1.5,1.5,1.5,0.0,1.5
제기동 ↔ 청량리,1.5,1.5,1.5,0.0,1.5
부천 ↔ 소사,1.5,1.5,1.5,0.0,1.5
동두천중앙 ↔ 지행,1.5,1.5,1.5,0.0,1.5
동대문 ↔ 종로5가,1.5,1.5,1.5,0.0,1.5
도화 ↔ 제물포,1.5,1.5,1.5,0.0,1.5
도화 ↔ 주안,1.5,1.5,1.5,0.0,1.5
동대문 ↔ 동묘앞,1.5,1.5,1.5,0.0,1.5
동묘앞 ↔ 신설동,1.5,1.5,1.5,0.0,1.5
종로3가 ↔ 종로5가,1.5,1.5,1.5,0.0,1.5
신설동 ↔ 제기동,1.5,1.5,1.5,0.0,1.5
송내 ↔ 중동,1.5,1.5,1.5,0.0,1.5
역곡 ↔ 온수,1.5,1.5,1.5,0.0,1.5
종각 ↔ 종로3가,1.5,1.5,1.5,0.0,1.5
외대앞 ↔ 회기,1.5,1.5,1.5,0.0,1.5
대방 ↔ 신길,1.0,1.0,1.0,0.0,1.0
신이문 ↔ 외대앞,1.0,1.0,1.0,0.0,1.0
